gamma,alpha,mean_excess,ci95_low_excess,ci95_high_excess,n_reps,n_rounds
0.0,0.05,-0.045040882644140925,-0.045454120107699135,-0.044627645180582716,100,2000
0.0,0.06,-0.05197261786603062,-0.05255265388021108,-0.05139258185185016,100,2000
0.0,0.07,-0.059705708488521685,-0.06041829192391582,-0.05899312505312755,100,2000
0.0,0.08,-0.06637053629937473,-0.06709922442375447,-0.06564184817499498,100,2000
0.0,0.09,-0.07242343372349537,-0.07326820148834773,-0.07157866595864301,100,2000
0.0,0.1,-0.0789267375961142,-0.07982895170955863,-0.07802452348266976,100,2000
0.0,0.11,-0.08512792359983506,-0.0862383092655057,-0.08401753793416443,100,2000
0.0,0.12,-0.08998610793440338,-0.09124446520750955,-0.08872775066129722,100,2000
0.0,0.13,-0.09616244201672146,-0.09740148616715665,-0.09492339786628627,100,2000
0.0,0.14,-0.09850091760183069,-0.09996049874576311,-0.09704133645789827,100,2000
0.0,0.15,-0.10109746079253216,-0.1026510382907522,-0.09954388329431213,100,2000
0.0,0.16,-0.10472472753524807,-0.10615383486599035,-0.10329562020450579,100,2000
0.0,0.17,-0.10437120454844814,-0.10579577938828032,-0.10294662970861597,100,2000
0.0,0.18,-0.10623123029708889,-0.10822451575678389,-0.10423794483739389,100,2000
0.0,0.19,-0.1102448185033497,-0.11228900800852884,-0.10820062899817057,100,2000
0.0,0.2,-0.11260290461535939,-0.1146344320508439,-0.11057137717987488,100,2000
0.0,0.21,-0.11092017772424699,-0.11332786434990011,-0.10851249109859387,100,2000
0.0,0.22,-0.11126917389194892,-0.11380717999048419,-0.10873116779341364,100,2000
0.0,0.23,-0.10878157592128873,-0.11143137938697027,-0.10613177245560719,100,2000
0.0,0.24,-0.10904077644595021,-0.11232396838084374,-0.10575758451105668,100,2000
0.0,0.25,-0.10818931642362084,-0.11142700262551743,-0.10495163022172425,100,2000
0.0,0.26,-0.10283744574731889,-0.10606497316195775,-0.09960991833268003,100,2000
0.0,0.27,-0.10333164557644117,-0.10652727041441626,-0.10013602073846609,100,2000
0.0,0.28,-0.09567704370659275,-0.09907203638878483,-0.09228205102440067,100,2000
0.0,0.29,-0.09276544260432253,-0.096427139848549,-0.08910374536009605,100,2000
0.0,0.3,-0.08656077457270776,-0.09001003309400414,-0.08311151605141139,100,2000
0.0,0.31,-0.08008299375324812,-0.08429975294717865,-0.0758662345593176,100,2000
0.0,0.32,-0.07043223062439638,-0.07417772882650339,-0.06668673242228937,100,2000
0.0,0.33,-0.06272436009242349,-0.06726095511104078,-0.05818776507380619,100,2000
0.0,0.34,-0.057349920592708985,-0.06199470275483823,-0.05270513843057974,100,2000
0.0,0.35,-0.04015294555125364,-0.0452702239235647,-0.03503566717894258,100,2000
